mouse,day,target_cluster_id,target_shank_id,cov_shank_id,n_ngs_cells,covariate_type,pR2_cv,mean_dist_to_ngs_um,cell_type,target_cell_type
29,18,215,2,1.0,18.0,pos+ngs_shank,0.0126067691202368,312.80576449163516,NG,NG
29,18,215,2,2.0,24.0,pos+ngs_shank,0.0146071619447059,113.12500000000034,NG,NG
29,18,215,2,3.0,5.0,pos+ngs_shank,0.009671648716843,253.41097703231827,NG,NG
29,18,218,0,,,pos,0.0073594561862817,,NG,NG
29,18,218,0,0.0,6.0,pos+ngs_shank,0.0257031206215297,37.49999999999991,NG,NG
29,18,218,0,1.0,18.0,pos+ngs_shank,0.0203630181184532,250.9002379288388,NG,NG
29,18,218,0,2.0,25.0,pos+ngs_shank,0.0398296306139568,522.4469770968344,NG,NG
29,18,218,0,3.0,5.0,pos+ngs_shank,0.0165636796876113,756.6872813738698,NG,NG
29,18,222,2,,,pos,0.0590443656715107,,NG,NG
29,18,222,2,0.0,7.0,pos+ngs_shank,0.0653556020551906,519.2782053757275,NG,NG
29,18,222,2,1.0,18.0,pos+ngs_shank,0.0689439314144281,294.2411667493191,NG,NG
29,18,222,2,2.0,24.0,pos+ngs_shank,0.0878975036307105,85.62500000000011,NG,NG
29,18,222,2,3.0,5.0,pos+ngs_shank,0.0602235465856862,247.6716244774354,NG,NG
29,18,223,2,,,pos,0.0919775018775923,,NG,NG
29,18,223,2,0.0,7.0,pos+ngs_shank,0.1025351538263804,519.2782053757275,NG,NG
29,18,223,2,1.0,18.0,pos+ngs_shank,0.090192053786486,294.2411667493191,NG,NG
29,18,223,2,2.0,24.0,pos+ngs_shank,0.1086571850565318,85.62500000000011,NG,NG
29,18,223,2,3.0,5.0,pos+ngs_shank,0.0932305297408163,247.6716244774354,NG,NG
29,18,225,2,,,pos,0.0134819200405672,,NG,NG
29,18,225,2,0.0,7.0,pos+ngs_shank,0.022870672234714,517.9190703654235,NG,NG
29,18,225,2,1.0,18.0,pos+ngs_shank,0.058257041834099,291.2931404103591,NG,NG
29,18,225,2,2.0,24.0,pos+ngs_shank,0.0675909249109112,82.50000000000017,NG,NG
29,18,225,2,3.0,5.0,pos+ngs_shank,0.0205826035533817,248.37028202243476,NG,NG
29,18,227,2,,,pos,0.0151667788905735,,NG,NG
29,18,227,2,0.0,7.0,pos+ngs_shank,0.0212215215802791,517.9190703654235,NG,NG
29,18,227,2,1.0,18.0,pos+ngs_shank,0.0229870046186808,291.2931404103591,NG,NG
29,18,227,2,2.0,24.0,pos+ngs_shank,0.0337671335575994,82.50000000000017,NG,NG
29,18,227,2,3.0,5.0,pos+ngs_shank,0.0200854993526528,248.37028202243476,NG,NG
29,18,233,2,,,pos,0.0035467022217866,,NG,NG
29,18,233,2,0.0,7.0,pos+ngs_shank,0.0025456468971236,516.9878858623019,NG,NG
29,18,233,2,1.0,18.0,pos+ngs_shank,0.0160827761339538,289.061148667942,NG,NG
29,18,233,2,2.0,24.0,pos+ngs_shank,0.0185664395121071,81.87500000000014,NG,NG
29,18,233,2,3.0,5.0,pos+ngs_shank,0.009238324456214,249.91970595521713,NG,NG
29,18,234,2,,,pos,0.0162124617965682,,NG,NG
29,18,234,2,0.0,7.0,pos+ngs_shank,0.0213890007724372,516.9878858623019,NG,NG
29,18,234,2,1.0,18.0,pos+ngs_shank,0.0222599077979078,289.061148667942,NG,NG
29,18,234,2,2.0,24.0,pos+ngs_shank,0.070388091552332,81.87500000000014,NG,NG
29,18,234,2,3.0,5.0,pos+ngs_shank,0.0186720671789609,249.91970595521713,NG,NG
29,18,235,2,,,pos,0.0115056438844577,,NG,NG
29,18,235,2,0.0,7.0,pos+ngs_shank,0.0106986443315361,516.4868272759195,NG,NG
29,18,235,2,1.0,18.0,pos+ngs_shank,0.0115709357882491,287.5576939351569,NG,NG
29,18,235,2,2.0,24.0,pos+ngs_shank,0.0285215530486591,83.7500000000001,NG,NG
29,18,235,2,3.0,5.0,pos+ngs_shank,0.0111231655126193,252.3065951390108,NG,NG
29,18,236,2,,,pos,0.0076086886052577,,NG,NG
29,18,236,2,0.0,7.0,pos+ngs_shank,0.0121885852792478,516.4170429797961,NG,NG
29,18,236,2,1.0,18.0,pos+ngs_shank,0.0157324671423288,286.7908261656619,NG,NG
29,18,236,2,2.0,24.0,pos+ngs_shank,0.0525630778356949,86.87500000000007,NG,NG
29,18,236,2,3.0,5.0,pos+ngs_shank,0.0124183028285638,255.51136152819817,NG,NG
29,18,237,2,,,pos,0.1170934646936269,,NG,NG
29,18,237,2,0.0,7.0,pos+ngs_shank,0.1236168387160326,517.5706942481983,NG,NG
29,18,237,2,1.0,18.0,pos+ngs_shank,0.1261018864421764,287.4760297892638,NG,NG
29,18,237,2,2.0,24.0,pos+ngs_shank,0.1749824093591222,95.62500000000006,NG,NG
29,18,237,2,3.0,5.0,pos+ngs_shank,0.119899151412504,264.26855581039547,NG,NG
29,18,240,2,,,pos,0.0446503546069149,,NG,NG
29,18,240,2,0.0,7.0,pos+ngs_shank,0.0513778843235958,518.7912416857826,NG,NG
29,18,240,2,1.0,18.0,pos+ngs_shank,0.0784357628265985,288.9212261176623,NG,NG
29,18,240,2,2.0,24.0,pos+ngs_shank,0.0932105251945533,101.25000000000016,NG,NG
