,cluster_id,brain_region,grid_score,field_size,field_spacing,orientation,_smooth_sigma,travel,sig,null_grid_score,null_field_size,null_field_spacing,null_orientation,null__smooth_sigma,null__skip_shuffles,mouse,day,session_travel_lag,optimal_travel_lag,optimal_travel_lag_grid_score,session_travel_lag_grid_score,zero_lag_grid_score,spatial_information_score,spatial_information_score_no_lag,SC_x,SC_y,SC_z,probe_x,probe_y,theta_index,firing_rate,firing_rate_OF1,firing_rate_VR,classified_by,cell_type,grid_module
43,228,ENTm2,-0.6454402474492036,45.0822461828068,60.10966157707574,22.868285806925847,1.5,2,False,,,,,,,20.0,14.0,1.8518518518518547,23.0,-32.0,-0.6454402474492036,-0.42353030070472475,0.03688963292346739,0.03566717725597373,-3510.0,4211.250076980373,4156.981551213812,532.0,120.0,0.12222404490790564,13.646251470050322,17.727113914830063,10.423123660244944,OF1,NG,
44,231,ENTm2,-0.6492210735984456,37.65668085253103,50.208907803374714,54.24149896998821,1.5,2,False,,,,,,,20.0,14.0,1.8518518518518547,9.0,-16.0,-0.6492210735984456,-0.42827904207892525,0.12155199094874691,0.10989412845859035,-3510.0,4166.463655883609,4161.360647620995,532.0,165.0,0.07995636256023896,6.348129309671705,6.270916974904931,7.207438456602176,OF1,NG,
45,234,ENTm2,-0.07557226552314403,29.69543280365256,39.59391040487008,31.77251842387524,1.5,2,False,,,,,,,20.0,14.0,1.8518518518518547,23.0,-28.0,-0.07557226552314403,-0.6562952342097021,0.03545393587005677,0.03860619190256444,-3510.0,4166.463655883609,4161.360647620995,500.0,165.0,0.10864857548475325,16.425546030302982,14.924617158719718,13.730014609303531,OF1,NG,
46,239,ENTm2,-0.5750524309624997,26.70202839067665,35.6027045209022,30.05809574705065,1.5,2,False,,,,,,,20.0,14.0,1.8518518518518547,26.0,-35.0,-0.5750524309624997,-0.34900691355601543,0.046988708733709875,0.04572167572554047,-3510.0,4136.606041819101,4164.280045225784,500.0,195.0,0.0713718637730094,10.9890046024232,12.32288889073874,8.896656244453244,OF1,NG,
47,242,ENTm2,-0.1911611691153215,38.32692746639908,51.10256995519877,36.9054905555305,1.5,2,False,,,,,,,20.0,14.0,1.8518518518518547,3.0,-41.0,-0.1911611691153215,-0.3513875044610981,0.27439766754018047,0.27487888609932876,-3510.0,4106.748427754592,4167.199442830573,532.0,225.0,0.11981297276353826,3.300706806932818,2.6893062916094266,3.8590407012465695,OF1,NG,
48,243,ENTm2,-0.3782849239857392,52.93104518509612,70.57472691346149,16.275013989546572,1.5,2,False,,,,,,,20.0,14.0,1.8518518518518547,0.0,44.0,-0.3782849239857392,-0.7294571662364459,0.044672487075850496,0.0509382438339,-3510.0,4106.748427754592,4167.199442830573,500.0,225.0,0.08837759572038742,11.751920487985943,10.503579381023238,10.989473109324011,OF2,NG,
49,245,ENTm2,-0.16878326381423125,25.061420390404756,33.415227187206334,54.15704453858978,1.5,2,False,,,,,,,20.0,14.0,1.8518518518518547,-27.0,-6.0,-0.16878326381423125,-0.4526956346714326,0.05747849481453917,0.06864393305776424,-3510.0,4091.819620722337,4168.659141632968,500.0,240.0,0.046036375985926095,2.565122064892397,2.8330664436032946,1.3730014609303531,OF2,NG,
50,249,ENTm2,-0.016454863422452573,28.924013485003634,38.56535131333818,15.136319973072306,1.5,2,False,,,,,,,20.0,14.0,1.8518518518518547,-4.0,29.0,-0.016454863422452573,-0.15578363847429189,0.08487582189205974,0.08599180943717194,-3510.0,4091.819620722337,4168.659141632968,500.0,240.0,0.13931320992657364,8.240104158673812,7.069859888572001,11.314973853442742,OF1,NG,
51,260,ENTm3,-0.5774591258588189,37.81739339751678,50.42319119668905,34.61657853290394,1.5,2,False,,,,,,,20.0,14.0,1.8518518518518547,-2.0,49.0,-0.5774591258588189,-0.4894884095814263,0.4982476352641792,0.4661190172089722,-3510.0,4017.1755855610654,4175.95763564494,500.0,315.0,0.004440025900549289,0.9813294204350907,1.0658080234028142,1.4658456329105283,OF1,NG,
52,264,ENTm2,-0.6257231001315603,36.646513677101545,48.86201823613539,44.22840665122138,1.5,2,False,,,,,,,20.0,14.0,1.8518518518518547,-11.0,29.0,-0.6257231001315603,-0.4918014769631402,0.19290788347454968,0.17953336783419546,-3510.0,4032.10439259332,4174.497936842545,500.0,300.0,0.034790260099542704,3.9375695736641623,2.3877404555303356,1.0333010199205364,OF1,NG,
