mouse,day,grid_module,target_cluster_id,cov_cluster_id,covariate_type,pR2_cv,euclidean_distance_um
21,16,0,326,506.0,pos+cell,0.0081591457982838,464.6387742832539
21,16,0,326,510.0,pos+cell,0.0035965358038272,483.09887934634753
21,16,0,326,513.0,pos+cell,0.0097777803457754,512.8377250291503
21,16,0,326,524.0,pos+cell,0.0093800085643501,533.8519166129558
21,16,0,326,529.0,pos+cell,0.007155201392758,555.6916460858291
21,16,0,326,540.0,pos+cell,0.0109064742663836,589.7976013150239
21,16,0,466,,pos,0.0022907228823486,
21,16,0,466,16.0,pos+cell,0.0024996798085796,597.5619644888529
21,16,0,466,201.0,pos+cell,0.0017943060396878,425.41981647618246
21,16,0,466,294.0,pos+cell,0.0023619111305144,609.6109037249521
21,16,0,466,313.0,pos+cell,0.0031313520793403,415.598107021317
21,16,0,466,326.0,pos+cell,0.0028809286964481,385.6386529096032
21,16,0,466,475.0,pos+cell,0.0043635298450525,15.000000000000234
21,16,0,466,482.0,pos+cell,0.0036456304027084,45.00000000000045
21,16,0,466,484.0,pos+cell,0.0042367248457887,75.00000000000034
21,16,0,466,485.0,pos+cell,0.0078529663863976,75.00000000000034
21,16,0,466,495.0,pos+cell,0.0131480638065013,135.00000000000043
21,16,0,466,499.0,pos+cell,0.0072531092956322,150.00000000000068
21,16,0,466,502.0,pos+cell,0.0080243208816868,164.9999999999999
21,16,0,466,506.0,pos+cell,0.0044730730269388,180.0
21,16,0,466,510.0,pos+cell,0.0061191290373514,210.0000000000003
21,16,0,466,513.0,pos+cell,0.0036333940545238,255.0000000000003
21,16,0,466,524.0,pos+cell,0.0042203588529074,285.0000000000002
21,16,0,466,529.0,pos+cell,0.0025179461485746,315.00000000000045
21,16,0,466,540.0,pos+cell,0.0070266846274123,360.0000000000001
21,16,0,475,,pos,0.0038226747851121,
21,16,0,475,16.0,pos+cell,0.0034122611310744,597.8625900596543
21,16,0,475,201.0,pos+cell,0.0033812213640413,428.7110016210961
21,16,0,475,294.0,pos+cell,0.0028708899043643,598.5689300063771
21,16,0,475,313.0,pos+cell,0.0029426032228463,422.0028614395706
21,16,0,475,326.0,pos+cell,0.0028163248205861,389.6663174397541
21,16,0,475,466.0,pos+cell,0.0046745207651501,15.000000000000234
21,16,0,475,482.0,pos+cell,0.0081827099642655,30.000000000000217
21,16,0,475,484.0,pos+cell,0.0041578216328998,60.0000000000001
21,16,0,475,485.0,pos+cell,0.0070226595238785,60.0000000000001
21,16,0,475,495.0,pos+cell,0.0082460452055558,120.0000000000002
21,16,0,475,499.0,pos+cell,0.0071123498729947,135.00000000000043
21,16,0,475,502.0,pos+cell,0.0075622460390098,149.99999999999963
21,16,0,475,506.0,pos+cell,0.0059067567157938,164.99999999999977
21,16,0,475,510.0,pos+cell,0.0034575256473077,195.00000000000009
21,16,0,475,513.0,pos+cell,0.003859034615024,240.00000000000009
21,16,0,475,524.0,pos+cell,0.0052320586881268,270.0
21,16,0,475,529.0,pos+cell,0.00503903607036,300.00000000000017
21,16,0,475,540.0,pos+cell,0.0051869223144881,344.9999999999999
21,16,1,476,,pos,0.0100681021428024,
21,16,1,476,324.0,pos+cell,0.0109598317093137,394.2239303697653
21,16,1,476,490.0,pos+cell,0.0140320953474945,75.00000000000001
21,16,0,482,,pos,0.0308256786847984,
21,16,0,482,16.0,pos+cell,0.0308900998678596,599.590215873274
21,16,0,482,201.0,pos+cell,0.0306894286400305,436.7669037732056
21,16,0,482,294.0,pos+cell,0.033573429864588,577.0211296185191
21,16,0,482,313.0,pos+cell,0.0337607030189309,436.0798918434016
21,16,0,482,326.0,pos+cell,0.0330270043538684,399.2933453055677
21,16,0,482,466.0,pos+cell,0.0329120747151018,45.00000000000045
21,16,0,482,475.0,pos+cell,0.0500308157360249,30.000000000000217
21,16,0,482,484.0,pos+cell,0.0351726622986236,29.99999999999989
21,16,0,482,485.0,pos+cell,0.0386877077204908,29.99999999999989
21,16,0,482,495.0,pos+cell,0.0366471600926215,89.99999999999999
21,16,0,482,499.0,pos+cell,0.0427469786051647,105.00000000000024
21,16,0,482,502.0,pos+cell,0.0401349463308388,119.99999999999945
21,16,0,482,506.0,pos+cell,0.0329489617045699,134.99999999999957
21,16,0,482,510.0,pos+cell,0.0524863205085693,164.9999999999999
21,16,0,482,513.0,pos+cell,0.0335202727844,209.9999999999999
21,16,0,482,524.0,pos+cell,0.0381044340578741,239.99999999999977
21,16,0,482,529.0,pos+cell,0.036284570024998,270.0
21,16,0,482,540.0,pos+cell,0.0465970018059315,314.99999999999966
21,16,0,484,,pos,0.0143297294002602,
21,16,0,484,16.0,pos+cell,0.0133712479248742,602.8077449312353
21,16,0,484,201.0,pos+cell,0.0133082070064215,446.6962430469972
21,16,0,484,294.0,pos+cell,0.0119922339713061,556.2571384562045
21,16,0,484,313.0,pos+cell,0.0132623822750879,451.7133262115695
21,16,0,484,326.0,pos+cell,0.0138945646075513,410.88990284936807
21,16,0,484,466.0,pos+cell,0.0139239701683903,75.00000000000034
21,16,0,484,475.0,pos+cell,0.0152825251647675,60.0000000000001
21,16,0,484,482.0,pos+cell,0.0167739069264534,29.99999999999989
21,16,0,484,485.0,pos+cell,0.0160852518586024,0.0
21,16,0,484,495.0,pos+cell,0.0243990348375047,60.0000000000001
21,16,0,484,499.0,pos+cell,0.022309600872448,75.00000000000034
21,16,0,484,502.0,pos+cell,0.0153627845151837,89.99999999999955
21,16,0,484,506.0,pos+cell,0.0191527706309014,104.99999999999966
21,16,0,484,510.0,pos+cell,0.0119356954993213,135.0
21,16,0,484,513.0,pos+cell,0.013036223922377,180.0
21,16,0,484,524.0,pos+cell,0.0134540492108177,209.9999999999999
21,16,0,484,529.0,pos+cell,0.014861418733401,240.00000000000009
21,16,0,484,540.0,pos+cell,0.0152231520680096,284.9999999999998
21,16,0,485,,pos,0.015068726398881,
21,16,0,485,16.0,pos+cell,0.0150886928458056,602.8077449312353
21,16,0,485,201.0,pos+cell,0.0148123279146164,446.6962430469972
21,16,0,485,294.0,pos+cell,0.0160926670164894,556.2571384562045
21,16,0,485,313.0,pos+cell,0.0156530132962031,451.7133262115695
21,16,0,485,326.0,pos+cell,0.0164887152039614,410.88990284936807
21,16,0,485,466.0,pos+cell,0.0183789666139967,75.00000000000034
21,16,0,485,475.0,pos+cell,0.0191073942400999,60.0000000000001
21,16,0,485,482.0,pos+cell,0.0170979210694754,29.99999999999989
21,16,0,485,484.0,pos+cell,0.0159244231165991,0.0
21,16,0,485,495.0,pos+cell,0.0227762945515945,60.0000000000001
21,16,0,485,499.0,pos+cell,0.0219165975127394,75.00000000000034
21,16,0,485,502.0,pos+cell,0.0171072417870275,89.99999999999955
21,16,0,485,506.0,pos+cell,0.0193060276812958,104.99999999999966
21,16,0,485,510.0,pos+cell,0.0154355242396322,135.0
21,16,0,485,513.0,pos+cell,0.0163636317546218,180.0
21,16,0,485,524.0,pos+cell,0.0177332653222127,209.9999999999999
21,16,0,485,529.0,pos+cell,0.015910736404871,240.00000000000009
21,16,0,485,540.0,pos+cell,0.0162529873951106,284.9999999999998
21,16,1,490,,pos,0.0036818030288058,
21,16,1,490,324.0,pos+cell,0.0046919383186573,424.29453086484
21,16,1,490,476.0,pos+cell,0.0073664321306361,75.00000000000001
21,16,0,495,,pos,0.0032511850820615,
21,16,0,495,16.0,pos+cell,0.0039643537126151,613.6079188743613
21,16,0,495,201.0,pos+cell,0.0034860763973,471.67991709806864
21,16,0,495,294.0,pos+cell,0.004082479903191,517.4545817731172
21,16,0,495,313.0,pos+cell,0.0034057187224391,487.0353612326877
21,16,0,495,326.0,pos+cell,0.0050204454248873,439.3417639834248
