target,target_shank,cov_shank,n_ent,n_par,same,n_cov,pR2,pR2_anch,pR2_nonanch
219,2,1,8,8,False,16,0.062,0.061,0.052
219,2,2,12,4,True,16,0.064,0.062,0.054
219,2,3,11,0,False,11,0.006,0.007,0.003
224,2,0,0,16,False,16,0.039,0.042,-0.004
224,2,1,8,8,False,16,0.036,0.039,-0.062
224,2,2,12,4,True,16,0.042,0.045,0.006
224,2,3,11,0,False,11,0.025,0.026,-0.004
280,3,0,0,16,False,16,0.014,0.01,0.013
280,3,1,8,8,False,16,0.009,0.007,0.009
280,3,2,12,4,False,16,0.009,0.007,0.009
280,3,3,10,0,True,10,0.006,0.005,0.005
281,3,0,0,16,False,16,0.017,0.018,0.023
281,3,1,8,8,False,16,0.012,0.014,-0.023
281,3,2,12,4,False,16,0.018,0.019,0.013
281,3,3,10,0,True,10,0.016,0.017,0.01
283,3,0,0,16,False,16,0.01,0.01,0.005
283,3,1,8,8,False,16,0.004,0.003,-0.001
283,3,2,12,4,False,16,0.01,0.01,0.004
283,3,3,10,0,True,10,0.008,0.007,0.006
284,3,0,0,16,False,16,0.024,0.026,0.009
284,3,1,8,8,False,16,0.018,0.021,0.008
284,3,2,12,4,False,16,0.02,0.021,0.023
284,3,3,10,0,True,10,0.016,0.016,0.032
285,3,0,0,16,False,16,0.022,0.026,0.002
285,3,1,8,8,False,16,0.02,0.022,0.015
285,3,2,12,4,False,16,0.03,0.033,0.013
285,3,3,10,0,True,10,0.039,0.04,0.016
287,3,0,0,16,False,16,0.053,0.056,
287,3,1,8,8,False,16,0.037,0.04,
287,3,2,12,4,False,16,0.062,0.065,
287,3,3,10,0,True,10,0.072,0.072,
288,3,0,0,16,False,16,0.013,0.012,0.01
288,3,1,8,8,False,16,0.004,0.004,0.003
288,3,2,12,4,False,16,0.009,0.009,0.003
288,3,3,10,0,True,10,0.016,0.014,0.012
291,3,0,0,16,False,16,0.006,0.006,0.011
291,3,1,8,8,False,16,0.005,0.005,0.001
291,3,2,12,4,False,16,0.008,0.008,0.006
291,3,3,10,0,True,10,0.014,0.013,0.008
293,3,0,0,16,False,16,0.027,0.027,0.027
293,3,1,8,8,False,16,0.017,0.016,0.018
293,3,2,12,4,False,16,0.007,0.007,0.008
293,3,3,10,0,True,10,0.007,0.008,0.007
295,3,0,0,16,False,16,0.006,0.006,0.006
295,3,1,8,8,False,16,0.004,0.003,0.008
295,3,2,12,4,False,16,0.011,0.012,0.01
295,3,3,10,0,True,10,0.007,0.006,0.008
297,3,0,0,16,False,16,0.028,0.028,0.029
297,3,1,8,8,False,16,0.023,0.022,0.026
297,3,2,12,4,False,16,0.014,0.013,0.018
297,3,3,10,0,True,10,0.02,0.019,0.021
